#anchorwave proali -i ./Udiv/Udiv.scaffold_1.augustus.hints.sorted.gff3 -r ./Udiv/Udiv.scaffold_1.fa -a ./Udiv-Lelegans/Udiv.scaffold_1.cds.to.Lelegans.chrom_1.liftover.sam -as ./Udiv/Udiv.scaffold_1.cds.fa -ar ./Udiv/Udiv.scaffold_1.cds.ref.sam -s ./Lelegans/Lelegans_chrom_1.fa -n ./Udiv-Lelegans/Udiv.scaffold_1.cds.to.Lelegans.chrom_1.anchors -t 12 -R 1 -Q 1 -w 45000 -fa3 500000
refChr	referenceStart	referenceEnd	queryChr	queryStart	queryEnd	strand	gene	blockIndex	score
scaffold_1	186489340	186545132	Hic_chr_4	63188032	63268464	-	mRNA3926	1	0.327878
scaffold_1	187024583	187047733	Hic_chr_4	62301426	62317734	-	mRNA3937	1	0.287929
scaffold_1	187134276	187192656	Hic_chr_4	62165697	62233755	-	mRNA3940	1	0.843137
scaffold_1	188440416	188505930	Hic_chr_4	60603849	60657314	-	mRNA3955	1	0.460014
#block end
#block begin
scaffold_1	2124984	2125868	Hic_chr_4	52978043	52978924	-	mRNA37	2	0.983051
scaffold_1	7191687	7206011	Hic_chr_4	32946194	32956195	-	mRNA158	2	0.995526
scaffold_1	9644025	9645114	Hic_chr_4	27875354	27876416	-	mRNA197	2	0.808756
scaffold_1	10486982	10517391	Hic_chr_4	24735635	24749613	-	mRNA215	2	0.947752
scaffold_1	12430413	12474651	Hic_chr_4	21363336	21374412	-	mRNA248	2	0.716012
scaffold_1	12486836	12500236	Hic_chr_4	21351589	21362368	-	mRNA249	2	0.830409
#block end
#block begin
scaffold_1	90230747	90241878	Hic_chr_4	54867523	54872804	+	mRNA1878	3	0.979658
scaffold_1	91578244	91833389	Hic_chr_4	55917057	56047549	+	mRNA1902	3	0.927168
scaffold_1	92387850	92462547	Hic_chr_4	56513478	56585665	+	mRNA1915	3	0.411221
scaffold_1	92823844	93044400	Hic_chr_4	56606543	56686029	+	mRNA1918	3	0.774049
#block end
#block begin
scaffold_1	134495783	134566603	Hic_chr_4	59472317	59487038	-	mRNA2792	4	0.952663
scaffold_1	134573496	134579626	Hic_chr_4	59452724	59464304	-	mRNA2794	4	0.531
scaffold_1	134606052	134606884	Hic_chr_4	59442734	59443557	-	mRNA2795	4	0.758427
scaffold_1	135299315	135306903	Hic_chr_4	59357937	59360966	-	mRNA2804	4	0.570691
#block end
#anchorwave proali -i ./Udiv/Udiv.scaffold_1.augustus.hints.sorted.gff3 -r ./Udiv/Udiv.scaffold_1.fa -a ./Udiv-Lelegans/Udiv.scaffold_1.cds.to.Lelegans.chrom_5.liftover.sam -as ./Udiv/Udiv.scaffold_1.cds.fa -ar ./Udiv/Udiv.scaffold_1.cds.ref.sam -s ./Lelegans/Lelegans_chrom_5.fa -n ./Udiv-Lelegans/Udiv.scaffold_1.cds.to.Lelegans.chrom_5.anchors -t 12 -R 1 -Q 1 -w 45000 -fa3 500000
refChr	referenceStart	referenceEnd	queryChr	queryStart	queryEnd	strand	gene	blockIndex	score
#anchorwave proali -i ./Udiv/Udiv.scaffold_1.augustus.hints.sorted.gff3 -r ./Udiv/Udiv.scaffold_1.fa -a ./Udiv-Lelegans/Udiv.scaffold_1.cds.to.Lelegans.chrom_6.liftover.sam -as ./Udiv/Udiv.scaffold_1.cds.fa -ar ./Udiv/Udiv.scaffold_1.cds.ref.sam -s ./Lelegans/Lelegans_chrom_6.fa -n ./Udiv-Lelegans/Udiv.scaffold_1.cds.to.Lelegans.chrom_6.anchors -t 12 -R 1 -Q 1 -w 45000 -fa3 500000
refChr	referenceStart	referenceEnd	queryChr	queryStart	queryEnd	strand	gene	blockIndex	score
#block begin
scaffold_1	146313395	146341649	Hic_chr_6	116569590	116582720	-	mRNA3056	1	0.946705
scaffold_1	146616592	146616779	Hic_chr_6	116412282	116412466	-	mRNA3060	1	0.406393
scaffold_1	147244211	147244632	Hic_chr_6	115950020	115950471	-	mRNA3071	1	0.565158
scaffold_1	148013383	148015216	Hic_chr_6	115408311	115410147	-	mRNA3089	1	0.831952
scaffold_1	156227938	156268022	Hic_chr_6	114044097	114073632	-	mRNA3265	1	0.776855
scaffold_1	156904469	157028265	Hic_chr_6	113671811	113732092	-	mRNA3279	1	0.841745
scaffold_1	163170055	163237404	Hic_chr_6	113200633	113275047	-	mRNA3402	1	0.952654
scaffold_1	168454865	168569237	Hic_chr_6	102164635	102401899	-	mRNA3540	1	0.724457
scaffold_1	170787823	170910417	Hic_chr_6	96908911	97000501	-	mRNA3592	1	0.202968
scaffold_1	172517858	172550132	Hic_chr_6	55400937	55432786	-	mRNA3611	1	0.976789
#block end
#block begin
scaffold_1	200620229	200668634	Hic_chr_6	128161975	128184659	-	mRNA4171	2	0.718862
scaffold_1	200715071	200772929	Hic_chr_6	128078373	128113833	-	mRNA4174	2	0.81353
scaffold_1	200845787	200846150	Hic_chr_6	128031766	128032129	-	mRNA4177	2	0.968
scaffold_1	201617603	201653450	Hic_chr_6	127426816	127459430	-	mRNA4194	2	0.994553
scaffold_1	202170514	202188108	Hic_chr_6	127035601	127050782	-	mRNA4205	2	0.978714
scaffold_1	215187698	215188609	Hic_chr_6	126707911	126711402	-	mRNA4488	2	0.932292
#block end
#block begin
scaffold_1	12649343	12650373	Hic_chr_6	125169980	125171010	+	mRNA251	3	0.461792
scaffold_1	12673285	12675380	Hic_chr_6	125177240	125179335	+	mRNA252	3	0.8831
scaffold_1	12825467	12827983	Hic_chr_6	125300442	125308279	+	mRNA260	3	0.265726
scaffold_1	12866166	12868111	Hic_chr_6	125344730	125346675	+	mRNA261	3	0.867117
scaffold_1	12983597	13064597	Hic_chr_6	125444829	125517342	+	mRNA263	3	0.78875
scaffold_1	13208423	13255143	Hic_chr_6	125597091	125638505	+	mRNA268	3	0.707993
scaffold_1	13285776	13398074	Hic_chr_6	125648726	125688072	+	mRNA282	3	0.97979
#block end
#block begin
scaffold_1	13633368	13698916	Hic_chr_6	122617546	122655655	+	mRNA285	4	0.505716
scaffold_1	14351728	14409011	Hic_chr_6	122774522	122818338	+	mRNA307	4	0.946686
scaffold_1	14574071	14595247	Hic_chr_6	122890461	122926176	+	mRNA314	4	0.282743
scaffold_1	14842331	14851597	Hic_chr_6	123068048	123070861	+	mRNA322	4	0.807642
scaffold_1	18926093	18971590	Hic_chr_6	123992732	124096850	+	mRNA421	4	0.984161
scaffold_1	19569710	19615400	Hic_chr_6	124636644	124659546	+	mRNA436	4	0.324331
scaffold_1	19982477	20058450	Hic_chr_6	125003246	125036791	+	mRNA443	4	0.220818
scaffold_1	20137993	20152838	Hic_chr_6	125141620	125152321	+	mRNA446	4	0.817352
#block end
#block begin
scaffold_1	145501596	145506483	Hic_chr_6	116741046	116742841	+	mRNA3036	5	0.797735
scaffold_1	145646144	145687695	Hic_chr_6	116814122	116873266	+	mRNA3040	5	0.92569
scaffold_1	145853984	145854668	Hic_chr_6	116938830	116940161	+	mRNA3042	5	0.595238
scaffold_1	145966558	145990725	Hic_chr_6	116976328	116981475	+	mRNA3045	5	0.926984
#block end
#block begin
scaffold_1	20167460	20209431	Hic_chr_6	130112852	130148863	-	mRNA447	6	0.971607
scaffold_1	70583682	70649919	Hic_chr_6	128877443	128898530	-	mRNA1436	6	0.499558
scaffold_1	70767877	70791441	Hic_chr_6	128607617	128608845	-	mRNA1439	6	0.810404
#block end
#anchorwave proali -i ./Udiv/Udiv.scaffold_1.augustus.hints.sorted.gff3 -r ./Udiv/Udiv.scaffold_1.fa -a ./Udiv-Lelegans/Udiv.scaffold_1.cds.to.Lelegans.chrom_7.liftover.sam -as ./Udiv/Udiv.scaffold_1.cds.fa -ar ./Udiv/Udiv.scaffold_1.cds.ref.sam -s ./Lelegans/Lelegans_chrom_7.fa -n ./Udiv-Lelegans/Udiv.scaffold_1.cds.to.Lelegans.chrom_7.anchors -t 12 -R 1 -Q 1 -w 45000 -fa3 500000
refChr	referenceStart	referenceEnd	queryChr	queryStart	queryEnd	strand	gene	blockIndex	score
#anchorwave proali -i ./Udiv/Udiv.scaffold_1.augustus.hints.sorted.gff3 -r ./Udiv/Udiv.scaffold_1.fa -a ./Udiv-Lelegans/Udiv.scaffold_1.cds.to.Lelegans.chrom_8.liftover.sam -as ./Udiv/Udiv.scaffold_1.cds.fa -ar ./Udiv/Udiv.scaffold_1.cds.ref.sam -s ./Lelegans/Lelegans_chrom_8.fa -n ./Udiv-Lelegans/Udiv.scaffold_1.cds.to.Lelegans.chrom_8.anchors -t 12 -R 1 -Q 1 -w 45000 -fa3 500000
refChr	referenceStart	referenceEnd	queryChr	queryStart	queryEnd	strand	gene	blockIndex	score
#block begin
scaffold_1	228896741	228903061	Hic_chr_8	2624225	2643566	+	mRNA4784	1	0.628333
scaffold_1	228915333	228926751	Hic_chr_8	2744690	2751670	+	mRNA4785	1	0.854406
scaffold_1	228931604	228944182	Hic_chr_8	2755057	2772807	+	mRNA4786	1	0.78806
scaffold_1	238655386	238670105	Hic_chr_8	24439407	24464231	+	mRNA5003	1	0.845528
scaffold_1	238971035	238992262	Hic_chr_8	24783795	24790348	+	mRNA5005	1	0.376053
scaffold_1	239100823	239167881	Hic_chr_8	24868418	24926278	+	mRNA5011	1	0.947861
scaffold_1	240175749	240204285	Hic_chr_8	27183430	27229416	+	mRNA5026	1	0.873475
scaffold_1	240794937	240804650	Hic_chr_8	33444388	33448799	+	mRNA5040	1	0.199642
scaffold_1	245296714	245359931	Hic_chr_8	45472100	45506356	+	mRNA5149	1	0.958091
scaffold_1	245832021	245847036	Hic_chr_8	46460698	46469597	+	mRNA5166	1	0.565079
scaffold_1	245920444	245967927	Hic_chr_8	46539343	46565758	+	mRNA5168	1	0.342545
scaffold_1	265308600	265440793	Hic_chr_8	53800559	53914250	+	mRNA5586	1	0.969663
scaffold_1	265662481	265673420	Hic_chr_8	54208654	54216870	+	mRNA5599	1	0.541745
scaffold_1	265743734	265775472	Hic_chr_8	54317936	54347404	+	mRNA5602	1	0.575758
#block end
#block begin
scaffold_1	218482475	218491357	Hic_chr_8	54423821	54437349	+	mRNA4536	2	0.837762
scaffold_1	218500939	218519607	Hic_chr_8	54443529	54468300	+	mRNA4539	2	0.884664
scaffold_1	221762097	221949438	Hic_chr_8	99229307	99512715	+	mRNA4599	2	0.942629
scaffold_1	222210707	222477820	Hic_chr_8	99691700	99914392	+	mRNA4609	2	0.917404
#block end
#anchorwave proali -i ./Udiv/Udiv.scaffold_1.augustus.hints.sorted.gff3 -r ./Udiv/Udiv.scaffold_1.fa -a ./Udiv-Lelegans/Udiv.scaffold_1.cds.to.Lelegans.chrom_9.liftover.sam -as ./Udiv/Udiv.scaffold_1.cds.fa -ar ./Udiv/Udiv.scaffold_1.cds.ref.sam -s ./Lelegans/Lelegans_chrom_9.fa -n ./Udiv-Lelegans/Udiv.scaffold_1.cds.to.Lelegans.chrom_9.anchors -t 12 -R 1 -Q 1 -w 45000 -fa3 500000
refChr	referenceStart	referenceEnd	queryChr	queryStart	queryEnd	strand	gene	blockIndex	score
#block begin
scaffold_1	105793301	105814053	Hic_chr_9	595799	637944	+	mRNA2132	1	0.139241
scaffold_1	107079921	107099192	Hic_chr_9	14303760	14325217	+	mRNA2145	1	0.944541
scaffold_1	158647380	158683356	Hic_chr_9	14465120	14506539	+	mRNA3311	1	0.247211
scaffold_1	183535670	183535995	Hic_chr_9	84985094	84985423	+	mRNA3831	1	0.951952
#block end
#anchorwave proali -i ./Udiv/Udiv.scaffold_1.augustus.hints.sorted.gff3 -r ./Udiv/Udiv.scaffold_1.fa -a ./Udiv-Lelegans/Udiv.scaffold_1.cds.to.Lelegans.chrom_10.liftover.sam -as ./Udiv/Udiv.scaffold_1.cds.fa -ar ./Udiv/Udiv.scaffold_1.cds.ref.sam -s ./Lelegans/Lelegans_chrom_10.fa -n ./Udiv-Lelegans/Udiv.scaffold_1.cds.to.Lelegans.chrom_10.anchors -t 12 -R 1 -Q 1 -w 45000 -fa3 500000
refChr	referenceStart	referenceEnd	queryChr	queryStart	queryEnd	strand	gene	blockIndex	score
#block begin
scaffold_1	124037167	124056567	Hic_chr_10	66714811	66732350	-	mRNA2502	1	0.416517
scaffold_1	215187716	215188609	Hic_chr_10	3973219	3974386	-	mRNA4488	1	0.879167
scaffold_1	229065068	229116133	Hic_chr_10	1670699	1781699	-	mRNA4788	1	0.809112
#block end
#anchorwave proali -i ./Udiv/Udiv.scaffold_1.augustus.hints.sorted.gff3 -r ./Udiv/Udiv.scaffold_1.fa -a ./Udiv-Lelegans/Udiv.scaffold_1.cds.to.Lelegans.chrom_11.liftover.sam -as ./Udiv/Udiv.scaffold_1.cds.fa -ar ./Udiv/Udiv.scaffold_1.cds.ref.sam -s ./Lelegans/Lelegans_chrom_11.fa -n ./Udiv-Lelegans/Udiv.scaffold_1.cds.to.Lelegans.chrom_11.anchors -t 12 -R 1 -Q 1 -w 45000 -fa3 500000
refChr	referenceStart	referenceEnd	queryChr	queryStart	queryEnd	strand	gene	blockIndex	score
#block begin
scaffold_1	179723979	179736678	Hic_chr_11	11478547	11479774	+	mRNA3752	1	0.934866
scaffold_1	179751615	179786612	Hic_chr_11	11479779	11481508	+	mRNA3754	1	0.968067
scaffold_1	179795624	179803394	Hic_chr_11	11481564	11482354	+	mRNA3756	1	0.97171
scaffold_1	188872626	188889967	Hic_chr_11	30571046	30577310	+	mRNA3964	1	0.746119
scaffold_1	215187698	215188609	Hic_chr_11	91985833	91989449	+	mRNA4488	1	0.935417
#block end
#anchorwave proali -i ./Udiv/Udiv.scaffold_1.augustus.hints.sorted.gff3 -r ./Udiv/Udiv.scaffold_1.fa -a ./Udiv-Lelegans/Udiv.scaffold_1.cds.to.Lelegans.chrom_12.liftover.sam -as ./Udiv/Udiv.scaffold_1.cds.fa -ar ./Udiv/Udiv.scaffold_1.cds.ref.sam -s ./Lelegans/Lelegans_chrom_12.fa -n ./Udiv-Lelegans/Udiv.scaffold_1.cds.to.Lelegans.chrom_12.anchors -t 12 -R 1 -Q 1 -w 45000 -fa3 500000
refChr	referenceStart	referenceEnd	queryChr	queryStart	queryEnd	strand	gene	blockIndex	score
#anchorwave proali -i ./Udiv/Udiv.scaffold_1.augustus.hints.sorted.gff3 -r ./Udiv/Udiv.scaffold_1.fa -a ./Udiv-Lelegans/Udiv.scaffold_1.cds.to.Lelegans.chrom_13.liftover.sam -as ./Udiv/Udiv.scaffold_1.cds.fa -ar ./Udiv/Udiv.scaffold_1.cds.ref.sam -s ./Lelegans/Lelegans_chrom_13.fa -n ./Udiv-Lelegans/Udiv.scaffold_1.cds.to.Lelegans.chrom_13.anchors -t 12 -R 1 -Q 1 -w 45000 -fa3 500000
refChr	referenceStart	referenceEnd	queryChr	queryStart	queryEnd	strand	gene	blockIndex	score
#anchorwave proali -i ./Udiv/Udiv.scaffold_1.augustus.hints.sorted.gff3 -r ./Udiv/Udiv.scaffold_1.fa -a ./Udiv-Lelegans/Udiv.scaffold_1.cds.to.Lelegans.chrom_14.liftover.sam -as ./Udiv/Udiv.scaffold_1.cds.fa -ar ./Udiv/Udiv.scaffold_1.cds.ref.sam -s ./Lelegans/Lelegans_chrom_14.fa -n ./Udiv-Lelegans/Udiv.scaffold_1.cds.to.Lelegans.chrom_14.anchors -t 12 -R 1 -Q 1 -w 45000 -fa3 500000
refChr	referenceStart	referenceEnd	queryChr	queryStart	queryEnd	strand	gene	blockIndex	score
#block begin
scaffold_1	27925231	27991581	Hic_chr_14	1180461	1222247	+	mRNA610	1	0.929988
scaffold_1	59136352	59194797	Hic_chr_14	13018547	13038592	+	mRNA1159	1	0.897892
scaffold_1	85407546	85504858	Hic_chr_14	13829298	13852421	+	mRNA1781	1	0.903687
scaffold_1	85681121	85793192	Hic_chr_14	13878581	13896188	+	mRNA1790	1	0.730835
scaffold_1	85810864	85811372	Hic_chr_14	13899786	13900303	+	mRNA1791	1	0.526429
